模块名称,子模块,功能点,功能说明,开发工时(人日)
一、核心基础模块,1.1 系统管理模块,用户管理,用户增删改查、密码重置、状态管理,3
一、核心基础模块,1.1 系统管理模块,角色管理,角色权限配置、菜单权限、按钮权限,4
一、核心基础模块,1.1 系统管理模块,菜单管理,动态菜单配置、图标管理、路由管理,3
一、核心基础模块,1.1 系统管理模块,部门管理,部门树形结构、人员归属,2
一、核心基础模块,1.1 系统管理模块,岗位管理,岗位定义、职责描述,2
一、核心基础模块,1.1 系统管理模块,系统配置,全局参数配置、SMTP配置、LDAP配置,3
一、核心基础模块,1.1 系统管理模块,集成管理,第三方系统集成配置（钉钉、企微、飞书）,4
一、核心基础模块,1.1 系统管理模块,API密钥管理,API Key生成、权限控制、过期管理,3
一、核心基础模块,1.2 审计日志模块,操作日志,用户操作记录、IP追踪、操作详情,3
一、核心基础模块,1.2 审计日志模块,登录日志,登录/登出记录、异常登录告警,2
一、核心基础模块,1.2 审计日志模块,数据日志,数据变更记录、前后对比,4
一、核心基础模块,1.2 审计日志模块,中间件审计,数据库操作审计、SQL记录,3
二、资产管理模块,2.1 主机管理,主机列表,主机增删改查、批量操作、标签管理,4
二、资产管理模块,2.1 主机管理,主机详情,实时监控、资源使用率、进程列表,5
二、资产管理模块,2.1 主机管理,业务分组,树形分组、拖拽排序、批量移动,3
二、资产管理模块,2.1 主机管理,凭据管理,SSH密钥、密码管理、凭据共享,3
二、资产管理模块,2.1 主机管理,云账号管理,多云接入（阿里云、AWS、华为云、腾讯云）,6
二、资产管理模块,2.1 主机管理,云主机导入,自动发现、批量导入、同步更新,5
二、资产管理模块,2.1 主机管理,Excel导入,模板下载、批量导入、错误提示,3
二、资产管理模块,2.1 主机管理,权限配置,细粒度权限（查看、编辑、删除、连接、执行、采集、文件、终端）,4
二、资产管理模块,2.1 主机管理,服务标签,标签定义、标签关联、标签搜索,2
二、资产管理模块,2.2 Web终端,SSH终端,WebSocket + xterm.js、多标签页,5
二、资产管理模块,2.2 Web终端,Agent终端,gRPC双向流、PTY管理,6
二、资产管理模块,2.2 Web终端,终端审计,会话录像、命令记录、回放功能,5
二、资产管理模块,2.2 Web终端,文件浏览器,上传/下载、目录浏览、权限管理,4
二、资产管理模块,2.2 Web终端,自动回退,Agent离线自动切换SSH,2
二、资产管理模块,2.3 中间件管理,MySQL管理,连接测试、SQL控制台、慢查询分析,5
二、资产管理模块,2.3 中间件管理,Redis管理,Key管理、命令执行、性能监控,4
二、资产管理模块,2.3 中间件管理,ClickHouse管理,查询控制台、表管理,4
二、资产管理模块,2.3 中间件管理,MongoDB管理,文档查询、集合管理,4
二、资产管理模块,2.3 中间件管理,Kafka管理,Topic管理、消息查看（预留）,3
二、资产管理模块,2.3 中间件管理,Milvus管理,向量库管理（预留）,3
二、资产管理模块,2.3 中间件管理,中间件权限,访问控制、操作审计,3
二、资产管理模块,2.4 Web站点管理,站点配置,外部/内部站点、Agent绑定,3
二、资产管理模块,2.4 Web站点管理,HTTP代理,透明代理、路径重写,5
二、资产管理模块,2.4 Web站点管理,静态资源处理,HTML/CSS/JS路径重写、gzip解压,4
二、资产管理模块,2.4 Web站点管理,SPA支持,Vue/React/Angular应用代理,3
二、资产管理模块,2.4 Web站点管理,站点审计,访问日志、操作记录,2
三、Agent系统,3.1 Agent端,gRPC客户端,双向流通信、心跳保活,4
三、Agent系统,3.1 Agent端,命令执行器,Shell命令执行、超时控制,3
三、Agent系统,3.1 Agent端,文件管理器,上传/下载/列表/删除,4
三、Agent系统,3.1 Agent端,终端管理,PTY创建、输入输出转发,5
三、Agent系统,3.1 Agent端,健康检查,自检、状态上报,2
三、Agent系统,3.1 Agent端,多架构构建,linux-amd64/arm64、darwin-amd64/arm64,3
三、Agent系统,3.2 Agent服务端,AgentHub,连接池管理、在线状态,4
三、Agent系统,3.2 Agent服务端,gRPC服务端,双向流处理、优雅关闭,4
三、Agent系统,3.2 Agent服务端,请求-响应机制,requestID关联、超时处理,3
三、Agent系统,3.2 Agent服务端,Agent部署,SSH部署、批量部署,5
三、Agent系统,3.2 Agent服务端,Agent注册,自动注册、IP去重、主机名更新,3
三、Agent系统,3.2 Agent服务端,HTTP代理,数据源代理、站点代理,6
四、插件系统,4.1 Kubernetes管理插件,集群管理,集群增删改查、KubeConfig管理,4
四、插件系统,4.1 Kubernetes管理插件,工作负载,Deployment/StatefulSet/DaemonSet/Job/CronJob,8
四、插件系统,4.1 Kubernetes管理插件,服务与网络,Service/Ingress/NetworkPolicy/Endpoints,6
四、插件系统,4.1 Kubernetes管理插件,配置管理,ConfigMap/Secret/HPA/LimitRange/ResourceQuota,5
四、插件系统,4.1 Kubernetes管理插件,存储管理,PV/PVC/StorageClass,4
四、插件系统,4.1 Kubernetes管理插件,访问控制,RBAC/ServiceAccount/ClusterRole/RoleBinding,6
四、插件系统,4.1 Kubernetes管理插件,命名空间,Namespace管理、资源配额,3
四、插件系统,4.1 Kubernetes管理插件,节点管理,节点列表、详情、标签、污点,4
四、插件系统,4.1 Kubernetes管理插件,Pod详情,容器日志、事件、Exec、端口转发,6
四、插件系统,4.1 Kubernetes管理插件,Web终端,kubectl exec、多容器切换,5
四、插件系统,4.1 Kubernetes管理插件,文件浏览器,Pod文件上传/下载,4
四、插件系统,4.1 Kubernetes管理插件,应用诊断,Arthas集成、JVM监控、线程分析、火焰图,10
四、插件系统,4.1 Kubernetes管理插件,集群巡检,健康检查、资源评估、安全扫描,6
四、插件系统,4.1 Kubernetes管理插件,用户权限,用户-集群-命名空间权限绑定,5
四、插件系统,4.2 任务执行插件,执行任务,Shell/Python/Ansible脚本执行,5
四、插件系统,4.2 任务执行插件,模板管理,脚本模板、参数化,3
四、插件系统,4.2 任务执行插件,文件分发,SSH/SFTP/Agent多通道,5
四、插件系统,4.2 任务执行插件,批量执行,主机分组、并发控制,4
四、插件系统,4.2 任务执行插件,执行记录,历史记录、日志查看,3
四、插件系统,4.2 任务执行插件,Agent优先,自动选择Agent/SSH通道,2
四、插件系统,4.3 监控告警插件,域名监控,HTTP/HTTPS可用性检测,4
四、插件系统,4.3 监控告警插件,SSL证书监控,证书到期检测、自动告警,3
四、插件系统,4.3 监控告警插件,检查历史,历史记录、趋势分析,2
四、插件系统,4.3 监控告警插件,告警配置,告警阈值、通知渠道,3
四、插件系统,4.3 监控告警插件,定时调度,定时检查、自动恢复,2
四、插件系统,4.4 Nginx日志分析插件,数据源管理,主机Nginx、K8s Ingress-Nginx,4
四、插件系统,4.4 Nginx日志分析插件,日志采集,定时采集、增量解析,5
四、插件系统,4.4 Nginx日志分析插件,概况统计,PV/UV、流量、状态码分布,4
四、插件系统,4.4 Nginx日志分析插件,数据日报,每日统计、趋势图表,3
四、插件系统,4.4 Nginx日志分析插件,实时监控,实时访问、热点URL,3
四、插件系统,4.4 Nginx日志分析插件,访问明细,日志查询、IP地理定位,4
四、插件系统,4.4 Nginx日志分析插件,星型模型,维度表+事实表+聚合表,5
四、插件系统,4.5 SSL证书管理插件,证书管理,Let's Encrypt申请、手动上传,5
四、插件系统,4.5 SSL证书管理插件,DNS配置,阿里云/AWS/华为云/腾讯云DNS验证,6
四、插件系统,4.5 SSL证书管理插件,部署配置,Nginx/K8s自动部署,5
四、插件系统,4.5 SSL证书管理插件,自动续期,定时检查、自动续期,4
四、插件系统,4.5 SSL证书管理插件,任务记录,申请/续期/部署历史,2
四、插件系统,4.6 智能巡检插件,巡检组管理,分组管理、层级结构、分组排序,3
四、插件系统,4.6 智能巡检插件,巡检项管理,命令执行/Shell脚本/PromQL查询三种方式,5
四、插件系统,4.6 智能巡检插件,定时任务,Cron调度、并发控制、失败重试,4
四、插件系统,4.6 智能巡检插件,执行记录,历史记录、结果查看、趋势分析,3
四、插件系统,4.6 智能巡检插件,Pushgateway配置,指标推送配置、多实例管理,2
四、插件系统,4.6 智能巡检插件,环境变量管理,变量定义、模板替换、作用域控制,2
五、告警管理模块,5.1 告警规则,规则管理,PromQL规则、阈值配置,5
五、告警管理模块,5.1 告警规则,规则分组,分组管理、批量操作,3
五、告警管理模块,5.1 告警规则,规则评估,定时评估、状态机管理,6
五、告警管理模块,5.1 告警规则,数据源管理,Prometheus/VictoriaMetrics接入,4
五、告警管理模块,5.1 告警规则,Agent代理,内网数据源代理访问,5
五、告警管理模块,5.2 告警事件,实时告警,活跃告警列表、状态更新,4
五、告警管理模块,5.2 告警事件,历史告警,历史记录、趋势分析,3
五、告警管理模块,5.2 告警事件,告警通道,钉钉/企微/飞书/邮件/Webhook,6
五、告警管理模块,5.2 告警事件,告警订阅,规则订阅、用户订阅、通道绑定,5
五、告警管理模块,5.2 告警事件,静默规则,标签匹配、时间窗口,4
五、告警管理模块,5.2 告警事件,告警聚合,相同告警聚合、降噪,4
六、身份认证模块,6.1 应用门户,应用门户,应用卡片、快速访问,3
六、身份认证模块,6.1 应用门户,应用管理,应用注册、配置管理,4
六、身份认证模块,6.1 应用门户,SSO集成,SAML/OAuth2/OIDC,8
六、身份认证模块,6.1 应用门户,身份源管理,LDAP/AD/钉钉/企微,6
六、身份认证模块,6.1 应用门户,凭证管理,应用凭证、密钥管理,3
六、身份认证模块,6.1 应用门户,访问策略,IP白名单、时间限制,4
六、身份认证模块,6.1 应用门户,认证日志,登录记录、审计追溯,2
七、监控大屏,7.1 Grafana集成,Grafana嵌入,iframe嵌入、免登录,3
七、监控大屏,7.1 Grafana集成,仪表盘管理,仪表盘列表、快速切换,2
七、监控大屏,7.1 Grafana集成,数据源配置,Prometheus/InfluxDB配置,2
